time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-11-07,6562.79,6476.59,6479.72,55100.44,360052788.55,6529.68,118849357.6,378090225.42,496939583.02,518001386.76,881924909.11,1399926295.87,1015958080.17,1951208292.34,2967166372.51,430362139,453108985,380636,727200,293734,354914430,8571,2.9906364464651,549196,47564438.5728502,7184404942701.79,648.736434108527,1144160,17364933.5449762,79108,30629,59158,3035830
2018-11-08,6542.42,6438.27,6530.94,42073.45,273205386.68,6446.06,116649947.62,307291185.42,423941133.03,552517655.03,702165465.15,1254683120.18,1048747862.02,1548843007.66,2597590869.69,430740131,453469778,360793,721536,277597,355192027,7930,2.84501045155239,549317,43341731.0923764,7184404942701.79,711.941666666666,1169965,17366446.0449762,79114,30649,59188,3037140
2018-11-09,6457.97,6352.45,6446.06,37086.04,237893036.71,6377.99,106480781.47,235532100.76,342012882.23,502774584.19,551841159.48,1054615743.68,986577092.58,1224261009.83,2210838102.4,431086147,453839446,369668,725173,283896,355475923,8178,3.01902540297278,549444,45570158.9117858,7184404942701.79,677.126984126984,1135195,17368033.5449762,79122,30660,59225,3038420
2018-11-10,6419.92,6376.17,6377.99,14658.42,94313328.59,6396.37,100201961.66,184041123.07,284243084.73,402445853.54,522546068.64,924991924.29,788526748.25,1157681333.67,1946208081.92,431390597,454164909,325463,616864,252499,355728422,5238,2.33088721277783,549575,47104615.5440558,7184404942701.79,655.06923076923,955554,17369671.0449762,79125,30672,59246,3039275
2018-11-11,6414.18,6326.38,6396.39,20337.03,130156001.58,6408.18,101991247.46,202020830.04,304012077.5,431066298.81,572240238.08,1003306536.9,843483057.23,1251169712.06,2094652769.29,431690422,454471583,306674,614666,246991,355975413,6102,2.20485495236106,549721,52642379.009661,7184404942701.79,586.158620689655,874062,17371496.0449762,79126,30678,59273,3040110
2018-11-12,6435.41,6350.87,6408.18,28338.62,181575610.86,6375.08,102526972.55,205064006.33,307590978.88,418885838.42,518322835.5,937208673.92,852830491.15,1139806128.82,1992636619.97,432037050,454842624,371041,708464,300006,356275419,9203,2.88022494012373,549861,50391740.7454311,7184404942701.79,612.338129496403,1066877,17373246.0449762,79129,30689,59307,3041265
2018-11-13,6389.43,6315.58,6375.08,35761.27,227689745.72,6339.17,102571411.67,245025400.08,347596811.75,469096369.52,567048077.01,1036144446.53,6.406278323714533e+19,1221525144.36,6.4062783238366945e+19,432358139,455195558,352934,669519,279160,356554579,8949,3.18658256764253,549981,43013275.7959056,7184404942701.79,717.378151260505,1110003,17374746.0449761,79132,30700,59335,3042270
2018-11-14,6375.7,5469.93,6339.17,178422.8,1045469380.16,5741.47,180762516.99,922395060.92,1103157579.74,620449073.24,1341630862.08,1962079935.32,1231861946.33,2798585601.98,4030447548.31,432712183,455559625,364067,746378,292755,356847334,10154,3.94877642428327,550116,48005492.6414892,7184404942701.79,642.776119402985,1094776,17376433.5449762,79146,30726,59371,3043960
2018-11-15,5767.06,5300.75,5740.51,147895.07,820864013.96,5647.5,164847774.21,711214658.83,876062433.05,544569140.39,1346184673.64,1890753814.03,1089017389.06,2846191630.1,3935209019.15,433067786,455913184,353559,736412,291525,357138859,9279,6.49287936628039,550243,45107023.8999901,7184404942701.79,684.079365079365,1193645,17378021.0449755,79163,30741,59418,3045680
2018-11-16,5676.54,5487.87,5647.5,71050.83,397196182.83,5586.27,130202285.67,375047146.34,505249432.01,449473595.94,953713470.26,1403187066.2,910921172.59,2002681211.14,2913602383.74,433403417,456264376,351192,728953,283124,357421983,7837,4.04514429536394,550369,46226057.8269017,7175974755379.64,666.736,1158173,17379596.0449755,79187,30752,59454,3047095
